"sp" "rr"
"Dry" "Dry" 0.0903572082655134
"Pmal" "Pmal" 0.320891098357397
"Ptom" "Ptom" 0.238506819594676
"Sacu" "Sacu" 0.401374645494218
"Sbec" "Sbec" 0.40855321937351
"Sfal" "Sfal" 0.0832560882104778
"Sgib" "Sgib" 0.37869063104776
"Slep" "Slep" 0.137667717400225
"Smac" "Smac" 0.272726309529034
"Smec" "Smec" 0.138372067649081
"Spar" "Spar" 0.272373411205653
"Spau" "Spau" 0.115491399867663
"Ssem" "Ssem" 0.089368639082621
"Ssmi" "Ssmi" 0.394102540846365
"Swal" "Swal" 0.189282539474251
"Sxan" "Sxan" 0.0984802273799002
