sp	fullname	mlim
Acos	Anisoptera_costata	NA
Dacu	Dipterocarpus_acutangulus	40
Dapp	Dipterocarpus_applanatus	40
Dcau	Dipterocarpus_caudiferus_	40
Dcon	Dipterocarpus_confertus	50
Dgra	Dipterocarpus_grandiflorus	50
Dhum	Dipterocarpus_humeratus	50
Dker	Dipterocarpus_kerrii	40
Dkun	Dipterocarpus_kunstleri	30
Dry	Dryobalanops_lanceolata	50
Hbec	Hopea_beccariana	30
Hner	Hopea_nervosa	NA
Hsan	Hopea_sangal_	50
Hsem	Hopea_semicuneata	NA
Hsp?	NA	NA
Pmal	Parashorea_malaanonan	50
Ptom	Parashorea_tomentella	50
Sacu	Shorea_acuminatissima	50
Saga	Shorea_agamii	50
Salm	Shorea_almon	50
Sarg	Shorea_argentifolia	50
Sbec	Shorea_beccariana	50
Scon	Shorea_confusa	50
Sfal	Shorea_falciferoides	50
Sfox	Shorea_foxworthyi	50
Sgib	Shorea_gibbosa	50
Sjoh	Shorea_johorensis	50
Slep	Shorea_leprosula	50
Smac	Shorea_macroptera	40
Smec	Shorea_mecistopteryx	50
Smul	Shorea_multiflora	30
Spar	Shorea_parvifolia	50
Spau	Shorea_pauciflora	50
Ssem	Shorea_seminis	50
Ssmi	Shorea_smithiana	50
Ssup	Shorea_superba	50
Ssym	Shorea_symingtonii	50
Swal	Shorea_waltoni	50
Sxan	Shorea_xanthophylla	30
Unkn	Unknown_	NA
Vdul	NA	NA
Vmic	Vatica_micrantha	NA
Vobl	Vatica_oblongifolia	30
Vras	Vatica_rassak	50
